fr_sentence,lr_sentence,language_pair,class,binary_class,sbert_score,length_score,jaccard_bigrams,jaccard_trigrams,jaccard_quadrigrams,phonetic_jaccard,corpus,language
L'enseignement élémentaire est obligatoire.,"• Cunsigliu di l’Europa, Cunvenzione europea di salvezza di i diritti di l’Omu è di e libertà fundamentale, articulu 14 : « u gudimentu di i diritti è libertà ricunnisciutu in la prisente Cunvenzione deve esse assicuratu, senza distinzione alcuna, fundata frà l’altru nant’à u sessu, a razza, u culore, a lingua, a religione, l’opinioni pulitiche o tutt’altra upinione, l’urigine naziunale o suciale, l’attenenza à una minurità naziunale, a ricchezza a nascita o tutt’altra situazione » (articulu ratificatu da a Francia).",parcolab_universal_tr__fr-gsw,non-parallel,0,0.24989138543605804,0.9506172839506173,0.12418300653594772,0.021604938271604937,0.007281553398058253,0.0,parcolab_universal_tr_,gsw
"Alors, la bise s'est mise à souffler de toute sa force mais plus elle soufflait, plus le voyageur serrait son manteau autour de lui et à la fin, la bise a renoncé à le lui faire ôter.","A quau moment, la bisa se metèt a bofar, tant que 'la podiá. Mas le voiageur z-au sarrat son mantiau ben fòrt aprés se, a la fin, la bisa z-au arrestat de bofar, qu'a n'en voiá pus la pena.",LIMSI_fr-oc_noc_sannat,parallel,1,0.6985080242156982,0.05128205128205128,0.44545454545454544,0.22857142857142856,0.13059701492537312,0.225,LIMSI_fr-oc_noc,sannat
1.,1.,parcolab_universal_tr__fr-co,semi-parallel,1,1.0,0.0,0.0,0.0,0.0,0.0,parcolab_universal_tr_,co
"La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort, quand ils ont vu un voyageur qui s'avançait, enveloppé dans son manteau.",La bisa e le sorenh se disputaven,LIMSI_fr-oc_noc_besse,semi-parallel,1,0.4052135944366455,0.7307692307692307,0.23958333333333334,0.12318840579710146,0.0915032679738562,0.1111111111111111,LIMSI_fr-oc_noc,besse
"Considérant que la méconnaissance et le mépris des droits de l'homme ont conduit à des actes de barbarie qui révoltent la conscience de l'humanité et que l'avènement d'un monde où les êtres humains seront libres de parler et de croire, libérés de la terreur et de la misère, a été proclamé comme la plus haute aspiration de l'homme,",2.,parcolab_universal_tr__fr-oc,non-parallel,0,0.11672231554985046,0.9827586206896551,0.0,0.0,0.0,0.0,parcolab_universal_tr_,oc
Article 17,"Tota persona, individualament e collectivament, a drech a la proprietat.",parcolab_universal_tr__fr-oc,non-parallel,0,0.2267988622188568,0.8,0.05172413793103448,0.0,0.0,0.0,parcolab_universal_tr_,oc
Article 4,Articulu 4,parcolab_universal_tr__fr-co,parallel,1,0.9798381328582764,0.0,0.4166666666666667,0.25,0.18181818181818182,1.0,parcolab_universal_tr_,co
2.,"Tota persona a lo drech, en plena egalitat, que sa causa siá recebuda ambe equitat e publicament per un tribunal independent e imparcial, que decidirà, siá de sos dreches e obligacions, siá de la legitimat de tota acusacion portada contra ela en matèria penala.",parcolab_universal_tr__fr-gsw,non-parallel,0,0.21613650023937225,0.9772727272727273,0.0,0.0,0.0,0.0,parcolab_universal_tr_,gsw
"Il s'en alla donc, et s'attacha au service d'un des habitants du pays, qui l'envoya dans sa maison des champs pour y garder les pourceaux.",Es coumo acò qu'à la rispo li fouguè recouneisse que lou sourel èro lou mai fort das dous.,parcolab_filsprodigue_tr__fr-co,non-parallel,0,0.2905697524547577,0.28,0.2818181818181818,0.06111111111111111,0.009900990099009901,0.058823529411764705,parcolab_filsprodigue_tr_,co
"Ainsi, la bise a dû reconnaître que le soleil était le plus fort des deux.",Emb aquò la cisampa es bèn agüa oublitjaa de,LIMSI_fr-oc_noc_marie,semi-parallel,1,0.18111881613731384,0.4,0.16455696202531644,0.04854368932038835,0.009259259259259259,0.10526315789473684,LIMSI_fr-oc_noc,marie
"Alors le soleil a commencé à briller et au bout d'un moment, le voyageur, réchauffé, a ôté son manteau.","Tandu u sole s'hè messu à luce è pocu à pocu, u viaghjadore, riscallatu, cacciò u so mantellu.",LIMSI_fr-co_pancheraccia,parallel,1,0.5973976850509644,0.05263157894736842,0.26732673267326734,0.07236842105263158,0.03636363636363636,0.03571428571428571,LIMSI_fr-co,pancheraccia
"Le serviteur lui répondit : c'est que voire frère est revenu ; et votre père a tué le veau gras, parce qu'il le revoit en santé.",De Diener het em g’sààt,parcolab_filsprodigue_tr__fr-gsw,semi-parallel,1,0.5066901445388794,0.8076923076923077,0.12345679012345678,0.01652892561983471,0.0,0.04,parcolab_filsprodigue_tr_,gsw
"Tout individu a droit à la vie, à la liberté et à la sûreté de sa personne.","Sobàld àss e Individuum d Fähigkeit het, Zweisprochig ze sin, gibt s tàtsächlich ken Hinweis defuer, àss e Volik unbedingt einsprochig sin mues, so wie s de collectif « Justice pour nos langues » bemerike duet.",parcolab_universal_tr__fr-gsw,non-parallel,0,0.14054620265960693,0.5277777777777778,0.21830985915492956,0.06726457399103139,0.02880658436213992,0.08333333333333333,parcolab_universal_tr_,gsw
Ils sont tombés d'accord que celui qui arriverait le premier à faire ôter son manteau au voyageur serait regardé comme le plus fort.,Ilhs tombeten d'acòrd que queu que 'ribariá lu premier a lu li far quitar siriá reconegut lu pus fòrt.,LIMSI_fr-oc_noc_pressignac,parallel,1,0.25968611240386963,0.17391304347826086,0.5050505050505051,0.19631901840490798,0.12365591397849462,0.21428571428571427,LIMSI_fr-oc_noc,pressignac
"Nul ne peut être arbitrairement privé de sa nationalité, ni du droit de changer de nationalité.",Articulu 27,parcolab_universal_tr__fr-co,non-parallel,0,0.052800510078668594,0.875,0.06153846153846154,0.0,0.0,0.0,parcolab_universal_tr_,co
"Peu de jours après, le plus jeune de ces deux fils, ayant amassé tout ce qu'il avait, s'en alla dans un pays étranger fort éloigné, où il dissipa tout son bien en excès et en débauches.",Article 8,parcolab_filsprodigue_tr__fr-oc,non-parallel,0,0.026229025796055794,0.9444444444444444,0.028037383177570093,0.006329113924050633,0.0,0.0,parcolab_filsprodigue_tr_,oc
Article 20,Articulu,parcolab_universal_tr__fr-co,semi-parallel,1,0.7343719005584717,0.5,0.3333333333333333,0.2727272727272727,0.2,1.0,parcolab_universal_tr_,co
Ils sont tombés d'accord que celui qui arriverait le premier à faire ôter son manteau au voyageur serait regardé comme le plus fort.,"S'acordèron per dire que lo qu'arribariá a lo li far quitar, lo màntol, a'n aquel òme, seriá gueitat coma lo mai fòrt.",LIMSI_fr-oc_lan_sainte-livrade,parallel,1,0.4505026340484619,0.043478260869565216,0.42718446601941745,0.15168539325842698,0.05714285714285714,0.1875,LIMSI_fr-oc_lan,sainte
"Ces droits et libertés ne pourront, en aucun cas, s'exercer contrairement aux buts et aux principes des Nations Unies.","In un currieru ufficiale, l’ONU rimpruvereghja à a Francia d’ùn rispettà i diritti linguistichi.",parcolab_universal_tr__fr-co,non-parallel,0,0.41764914989471436,0.2631578947368421,0.23684210526315788,0.03389830508474576,0.005208333333333333,0.0,parcolab_universal_tr_,co
"Tel est pourtant le cas en France où, dans les faits, c’est une politique d’assimilation qui est menée depuis des décennies, au point de menacer la survie de toutes les langues dites régionales de métropole.","Hè puru cusì in Francia, induve, in i fatti, hè una pulitica d’assimilazione chi hè appiegata da dicennii, à u puntu di minacià a sopravivenza di tutte e lingue dette regiunale di metropuli.",parcolab_feltin-20230207_tr__fr-co,parallel,1,0.7784240245819092,0.05714285714285714,0.5298507462686567,0.17472118959107807,0.07621951219512195,0.14893617021276595,parcolab_feltin-20230207_tr_,co
Ces bons résultats sont d'ailleurs conformes à ce que l'on observe à l'étranger.,Sti risultati boni sò d’altronde cunformi,parcolab_feltin-20210921_tr__fr-co,semi-parallel,1,0.4776288866996765,0.5384615384615384,0.2602739726027397,0.1,0.05714285714285714,0.058823529411764705,parcolab_feltin-20210921_tr_,co
